prev,dens,urb,rur,y
264142,303,14610410,34966693,273085
273085,303,14610410,34966693,281817
281817,303,14610410,34966693,289829
289829,303,14610410,34966693,296609
296609,303,14610410,34966693,306261
306261,303,14610410,34966693,316003
316003,303,14610410,34966693,325396
325396,303,14610410,34966693,334940
334940,303,14610410,34966693,345216
345216,303,14610410,34966693,353111
353111,303,14610410,34966693,361712
361712,303,14610410,34966693,371639
371639,303,14610410,34966693,382469
382469,303,14610410,34966693,393090
393090,303,14610410,34966693,403616
403616,303,14610410,34966693,414164
414164,303,14610410,34966693,424767
424767,303,14610410,34966693,434771
434771,303,14610410,34966693,445139
445139,303,14610410,34966693,455531
455531,303,14610410,34966693,465730
465730,303,14610410,34966693,476506
476506,303,14610410,34966693,487331
487331,303,14610410,34966693,498125
498125,303,14610410,34966693,506493
506493,303,14610410,34966693,517094
517094,303,14610410,34966693,527512
527512,303,14610410,34966693,537687
537687,303,14610410,34966693,547686
547686,303,14610410,34966693,557587
557587,303,14610410,34966693,567123
567123,303,14610410,34966693,575079
575079,303,14610410,34966693,583925
583925,303,14610410,34966693,592760
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,1
1,17,317369,1066358,2
2,17,317369,1066358,2
2,17,317369,1066358,2
2,17,317369,1066358,3
3,17,317369,1066358,3
3,17,317369,1066358,4
4,17,317369,1066358,4
4,17,317369,1066358,22
22,17,317369,1066358,22
22,17,317369,1066358,38
38,17,317369,1066358,42
42,17,317369,1066358,45
45,17,317369,1066358,47
47,17,317369,1066358,51
51,17,317369,1066358,51
51,17,317369,1066358,57
57,17,317369,1066358,57
57,17,317369,1066358,61
61,17,317369,1066358,67
67,17,317369,1066358,87
87,17,317369,1066358,91
91,17,317369,1066358,91
91,17,317369,1066358,95
95,17,317369,1066358,99
99,17,317369,1066358,103
103,17,317369,1066358,103
103,17,317369,1066358,135
135,17,317369,1066358,135
135,17,317369,1066358,139
139,17,317369,1066358,148
148,17,317369,1066358,158
158,17,317369,1066358,160
160,17,317369,1066358,172
172,17,317369,1066358,177
177,17,317369,1066358,182
182,17,317369,1066358,187
187,17,317369,1066358,191
191,17,317369,1066358,195
195,17,317369,1066358,195
195,17,317369,1066358,252
252,17,317369,1066358,259
259,17,317369,1066358,269
269,17,317369,1066358,270
270,17,317369,1066358,276
276,17,317369,1066358,287
287,17,317369,1066358,302
302,17,317369,1066358,335
335,17,317369,1066358,341
341,17,317369,1066358,359
359,17,317369,1066358,387
