Active,Population Density,Urban Population,Rural Population,Y
10,397,4398542,26807034,0
10,397,4398542,26807034,0
10,397,4398542,26807034,0
10,397,4398542,26807034,0
10,397,4398542,26807034,2
12,397,4398542,26807034,9
19,397,4398542,26807034,5
24,397,4398542,26807034,4
27,397,4398542,26807034,0
27,397,4398542,26807034,2
29,397,4398542,26807034,0
24,397,4398542,26807034,15
39,397,4398542,26807034,7
46,397,4398542,26807034,3
47,397,4398542,26807034,2
49,397,4398542,26807034,9
58,397,4398542,26807034,6
64,397,4398542,26807034,35
97,397,4398542,26807034,28
118,397,4398542,26807034,33
145,397,4398542,26807034,56
201,397,4398542,26807034,70
270,397,4398542,26807034,49
319,397,4398542,26807034,148
460,397,4398542,26807034,90
550,397,4398542,26807034,165
690,397,4398542,26807034,75
748,397,4398542,26807034,168
895,397,4398542,26807034,161
1018,397,4398542,26807034,87
1083,397,4398542,26807034,118
1109,397,4398542,26807034,123
1185,397,4398542,26807034,159
1255,397,4398542,26807034,316
1542,397,4398542,26807034,165
1651,397,4398542,26807034,244
1846,397,4398542,26807034,168
1946,397,4398542,26807034,211
2107,397,4398542,26807034,161
1848,397,4398542,26807034,155
1839,397,4398542,26807034,227
1881,397,4398542,26807034,179
1953,397,4398542,26807034,220
2126,397,4398542,26807034,331
2081,397,4398542,26807034,109
1984,397,4398542,26807034,161
2145,397,4398542,26807034,286
1955,397,4398542,26807034,172
2114,397,4398542,26807034,127
1856,397,4398542,26807034,0
1856,397,4398542,26807034,484
2019,397,4398542,26807034,198
2056,397,4398542,26807034,245
2060,397,4398542,26807034,367
2231,397,4398542,26807034,123
2279,397,4398542,26807034,286
2339,397,4398542,26807034,209
2307,397,4398542,26807034,390
2108,397,4398542,26807034,546
2408,397,4398542,26807034,475
2568,397,4398542,26807034,355
2719,397,4398542,26807034,431
2895,397,4398542,26807034,660
3310,397,4398542,26807034,995
3997,397,4398542,26807034,720
4249,397,4398542,26807034,772
4264,397,4398542,26807034,362
4179,397,4398542,26807034,814
4591,397,4398542,26807034,696
5281,397,4398542,26807034,568
5426,397,4398542,26807034,936
6351,397,4398542,26807034,535
5610,397,4398542,26807034,735
5876,397,4398542,26807034,1001
6351,397,4398542,26807034,859
6447,397,4398542,26807034,1088
6818,397,4398542,26807034,892
6490,397,4398542,26807034,2272
7700,397,4398542,26807034,1081
7919,397,4398542,26807034,1383
8229,397,4398542,26807034,0
7291,397,4398542,26807034,1390
8675,397,4398542,26807034,2019
8022,397,4398542,26807034,1130
8084,397,4398542,26807034,1165
7954,397,4398542,26807034,1142
8109,397,4398542,26807034,1348
8088,397,4398542,26807034,1371
8241,397,4398542,26807034,1348
8371,397,4398542,26807034,2112
9233,397,4398542,26807034,1862
9814,397,4398542,26807034,1457
10183,397,4398542,26807034,1178
10415,397,4398542,26807034,2371
11738,397,4398542,26807034,2886
13625,397,4398542,26807034,2284
14432,397,4398542,26807034,2372
15467,397,4398542,26807034,2679
16555,397,4398542,26807034,2218
16983,397,4398542,26807034,1123
16367,397,4398542,26807034,2900
18000,397,4398542,26807034,2669
19178,397,4398542,26807034,4593
21629,397,4398542,26807034,2796
22243,397,4398542,26807034,2706
22633,397,4398542,26807034,1057
22090,397,4398542,26807034,1317
21471,397,4398542,26807034,2792
22736,397,4398542,26807034,2534
23704,397,4398542,26807034,2116
23756,397,4398542,26807034,1735
22711,397,4398542,26807034,1856
22085,397,4398542,26807034,1560
21593,397,4398542,26807034,1272
19598,397,4398542,26807034,1879
19277,397,4398542,26807034,1973
19518,397,4398542,26807034,2179
19535,397,4398542,26807034,2036
19222,397,4398542,26807034,2560
20011,397,4398542,26807034,2427
20995,397,4398542,26807034,1980
21551,397,4398542,26807034,3266
23273,397,4398542,26807034,2684
24514,397,4398542,26807034,3555
26227,397,4398542,26807034,3054
27303,397,4398542,26807034,2891
28159,397,4398542,26807034,2698
28507,397,4398542,26807034,1537
28273,397,4398542,26807034,2785
28798,397,4398542,26807034,2579
29206,397,4398542,26807034,2243
29166,397,4398542,26807034,2739
29690,397,4398542,26807034,2534
29580,397,4398542,26807034,2132
29133,397,4398542,26807034,1292
28161,397,4398542,26807034,2403
28630,397,4398542,26807034,2409
29180,397,4398542,26807034,2394
1,1102,11758016,92341436,0
1,1102,11758016,92341436,1
2,1102,11758016,92341436,1
3,1102,11758016,92341436,2
5,1102,11758016,92341436,0
5,1102,11758016,92341436,3
8,1102,11758016,92341436,2
10,1102,11758016,92341436,4
14,1102,11758016,92341436,0
14,1102,11758016,92341436,8
22,1102,11758016,92341436,1
23,1102,11758016,92341436,5
28,1102,11758016,92341436,1
29,1102,11758016,92341436,0
29,1102,11758016,92341436,2
31,1102,11758016,92341436,0
31,1102,11758016,92341436,6
37,1102,11758016,92341436,1
38,1102,11758016,92341436,21
59,1102,11758016,92341436,0
59,1102,11758016,92341436,4
44,1102,11758016,92341436,0
37,1102,11758016,92341436,2
39,1102,11758016,92341436,4
40,1102,11758016,92341436,4
44,1102,11758016,92341436,9
45,1102,11758016,92341436,2
46,1102,11758016,92341436,1
47,1102,11758016,92341436,10
52,1102,11758016,92341436,18
70,1102,11758016,92341436,12
78,1102,11758016,92341436,22
100,1102,11758016,92341436,28
128,1102,11758016,92341436,52
180,1102,11758016,92341436,23
203,1102,11758016,92341436,26
219,1102,11758016,92341436,69
287,1102,11758016,92341436,37
317,1102,11758016,92341436,20
336,1102,11758016,92341436,23
342,1102,11758016,92341436,45
370,1102,11758016,92341436,11
361,1102,11758016,92341436,35
388,1102,11758016,92341436,12
395,1102,11758016,92341436,7
390,1102,11758016,92341436,6
350,1102,11758016,92341436,8
299,1102,11758016,92341436,21
269,1102,11758016,92341436,20
264,1102,11758016,92341436,105
325,1102,11758016,92341436,51
364,1102,11758016,92341436,84
442,1102,11758016,92341436,109
545,1102,11758016,92341436,54
576,1102,11758016,92341436,24
573,1102,11758016,92341436,161
719,1102,11758016,92341436,83
779,1102,11758016,92341436,129
888,1102,11758016,92341436,107
955,1102,11758016,92341436,176
1093,1102,11758016,92341436,308
1378,1102,11758016,92341436,195
1537,1102,11758016,92341436,203
1716,1102,11758016,92341436,207
1872,1102,11758016,92341436,143
1968,1102,11758016,92341436,253
2070,1102,11758016,92341436,78
1963,1102,11758016,92341436,235
2070,1102,11758016,92341436,80
2150,1102,11758016,92341436,260
1998,1102,11758016,92341436,179
2084,1102,11758016,92341436,111
2002,1102,11758016,92341436,229
2185,1102,11758016,92341436,235
2288,1102,11758016,92341436,103
2254,1102,11758016,92341436,103
2342,1102,11758016,92341436,319
2460,1102,11758016,92341436,173
2578,1102,11758016,92341436,114
2672,1102,11758016,92341436,257
2563,1102,11758016,92341436,251
2606,1102,11758016,92341436,273
2681,1102,11758016,92341436,120
2480,1102,11758016,92341436,187
2295,1102,11758016,92341436,180
2261,1102,11758016,92341436,180
2201,1102,11758016,92341436,128
2093,1102,11758016,92341436,164
1972,1102,11758016,92341436,83
1925,1102,11758016,92341436,156
2033,1102,11758016,92341436,352
1952,1102,11758016,92341436,79
1979,1102,11758016,92341436,213
1989,1102,11758016,92341436,328
1993,1102,11758016,92341436,56
2039,1102,11758016,92341436,264
1975,1102,11758016,92341436,243
1896,1102,11758016,92341436,215
2029,1102,11758016,92341436,281
2034,1102,11758016,92341436,428
2188,1102,11758016,92341436,403
2289,1102,11758016,92341436,206
2233,1102,11758016,92341436,222
2374,1102,11758016,92341436,483
2660,1102,11758016,92341436,746
2925,1102,11758016,92341436,176
3016,1102,11758016,92341436,249
3031,1102,11758016,92341436,445
3182,1102,11758016,92341436,619
3528,1102,11758016,92341436,755
4013,1102,11758016,92341436,631
4347,1102,11758016,92341436,798
4557,1102,11758016,92341436,1269
5001,1102,11758016,92341436,1317
5482,1102,11758016,92341436,1325
6261,1102,11758016,92341436,1328
6970,1102,11758016,92341436,1152
7549,1102,11758016,92341436,1825
8767,1102,11758016,92341436,1547
9392,1102,11758016,92341436,1433
10044,1102,11758016,92341436,1077
9996,1102,11758016,92341436,1306
10220,1102,11758016,92341436,1417
10506,1102,11758016,92341436,1611
10994,1102,11758016,92341436,1946
11363,1102,11758016,92341436,2678
12317,1102,11758016,92341436,2572
13117,1102,11758016,92341436,2068
13461,1102,11758016,92341436,2599
14718,1102,11758016,92341436,2237
15482,1102,11758016,92341436,2397
16845,1102,11758016,92341436,2756
17579,1102,11758016,92341436,3007
18937,1102,11758016,92341436,2784
20306,1102,11758016,92341436,2304
20770,1102,11758016,92341436,2460
21093,1102,11758016,92341436,2982
22001,1102,11758016,92341436,3018
23888,1102,11758016,92341436,3516
26453,1102,11758016,92341436,3990
26669,1102,11758016,92341436,4157
27906,1102,11758016,92341436,3099
28065,1102,11758016,92341436,3863
29291,1102,11758016,92341436,3908
30119,1102,11758016,92341436,3872
31483,1102,11758016,92341436,3815
32636,1102,11758016,92341436,3543
32591,1102,11758016,92341436,2293
31059,1102,11758016,92341436,2463
29387,1102,11758016,92341436,3191
28692,1102,11758016,92341436,2939
27546,1102,11758016,92341436,2504
26789,1102,11758016,92341436,2472
25363,1102,11758016,92341436,2116
24168,1102,11758016,92341436,2418
23111,1102,11758016,92341436,1251
21392,1102,11758016,92341436,1338
19716,1102,11758016,92341436,2178
19823,1102,11758016,92341436,2066
19067,1102,11758016,92341436,2277
18047,1102,11758016,92341436,1946
17670,1102,11758016,92341436,2032
17333,1102,11758016,92341436,1422
16335,1102,11758016,92341436,1892
16168,1102,11758016,92341436,3092
17001,1102,11758016,92341436,1526
17319,1102,11758016,92341436,1137
17032,1102,11758016,92341436,1728
16594,1102,11758016,92341436,1829
16426,1102,11758016,92341436,1366
16121,1102,11758016,92341436,1475
15346,1102,11758016,92341436,1690
15626,1102,11758016,92341436,1376
15239,1102,11758016,92341436,1877
15190,1102,11758016,92341436,1258
14396,1102,11758016,92341436,1582
14113,1102,11758016,92341436,2081
13975,1102,11758016,92341436,505
13055,1102,11758016,92341436,1592
1,9252,1026459,28991,0
1,9252,1026459,28991,0
1,9252,1026459,28991,4
5,9252,1026459,28991,1
6,9252,1026459,28991,1
7,9252,1026459,28991,0
7,9252,1026459,28991,0
7,9252,1026459,28991,0
7,9252,1026459,28991,1
8,9252,1026459,28991,0
8,9252,1026459,28991,0
8,9252,1026459,28991,5
13,9252,1026459,28991,3
16,9252,1026459,28991,0
16,9252,1026459,28991,2
18,9252,1026459,28991,0
18,9252,1026459,28991,0
18,9252,1026459,28991,0
18,9252,1026459,28991,0
11,9252,1026459,28991,0
11,9252,1026459,28991,0
11,9252,1026459,28991,0
11,9252,1026459,28991,0
11,9252,1026459,28991,1
12,9252,1026459,28991,2
14,9252,1026459,28991,0
14,9252,1026459,28991,0
14,9252,1026459,28991,0
14,9252,1026459,28991,0
12,9252,1026459,28991,0
12,9252,1026459,28991,2
13,9252,1026459,28991,3
13,9252,1026459,28991,0
13,9252,1026459,28991,1
13,9252,1026459,28991,0
13,9252,1026459,28991,0
13,9252,1026459,28991,1
13,9252,1026459,28991,2
13,9252,1026459,28991,0
13,9252,1026459,28991,10
23,9252,1026459,28991,16
39,9252,1026459,28991,0
39,9252,1026459,28991,0
39,9252,1026459,28991,32
